BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,Zhejiang Fuxing Shipping Company Limited,Fu Xing 5,7713400,China ,,,Zhejiang Fuxing Shipping Company Limited,Zhejiang Fuxing Shipping Company Limited,"Zhoushan, China",2013-06-28 00:00:00,1979,Bulker,,,
China,Zhoushan Zhongchang Shipping,Zhong Shan 28,8201351,China ,,,Zhoushan Zhongchang Shipping,Zhoushan Zhongchang Shipping,"Zhoushan, China",2013-01-01 00:00:00,1985,Bulker,,,
Cyprus,G.S. Shipping Limited,Mesamar,8122608,Panama ,,,G.S. Shipping Limited,Mesamar Shipping S.A. ,"Alang, India",2013-05-29 00:00:00,1982,Bulker,,5607,
Cyprus,Sadent Shipping Limited,Sadent,8313960,Dominica,,,Sadent Shipping Limited ,Sadent Shipping Limited ,"Alang, India",2013-02-18 00:00:00,1986,Bulker,,8410,
Cyprus,SMT Shipmanagement & Transport Limited,Mascot,7516577,Bahamas ,,,SMT Shipmanagement & Transport Limited,Mascot Shipping Limited ,"Alang, India",2013-05-31 00:00:00,1977,Bulker,,13324,
Cyprus,Essar Shipping & Logistics Limited,Ram Prasad,8023981,India ,,,Essar Shipping Limited ,Essar Shipping Limited ,"Gadani, Pakistan",2013-11-22 00:00:00,1982,Bulker,,19492,440
Cyprus,Sadent Shipping Limited,Sea Way,8207783,Belize ,Liberia,2013-01-23 00:00:00,Sadent Shipping Limited,Victoria Shipping Limited ,"Gadani, Pakistan",2013-08-23 00:00:00,1985,Bulker,,,
Cyprus,Sahmar Shipping Company Limited,Uran,7415034,Cambodia ,,,Sahmar Shipping Company Limited,Sahmar Shipping Company Limited,"Jiangyin, China",2013-02-20 00:00:00,1974,Bulker,,,
Cyprus,Bulcom Limited,Chang Hang Shang Hai,8127672,China ,,,Bulcom Limited,Ludimar Navigation Limited ,"Taizhou, China",2013-07-11 00:00:00,1984,Bulker,,,
Denmark,Dannebrog Rederi A/S,Aalborg,8122830,Gibraltar,,,Dannebrog Rederi A/S,Dannebrog Rederi A/S,"Alang, India",2013-04-15 00:00:00,1983,Bulker,,,
Egypt,El Reedy Shipping Company,Abdoul Star,7812464,Moldova ,,,El Reedy Shipping Company,Honesty Marine Lines Incorporated ,"Alang, India",2013-10-05 00:00:00,1979,Bulker,,3315,
Egypt,Red Sea Navigation Company,Taba,8508474,Panama ,,,"Sea Gate Management Company S.A. 
","Sea Gate Management Company S.A. 
","Alang, India",2013-07-06 00:00:00,1985,Bulker,,5467,404
Egypt,Government of Egypt,Alfa,8309866,Saint Kitts and Nevis,Egypt,2013-03-02 00:00:00,National Navigation Company ,National Navigation Company ,"Chittagong, Bangladesh",2013-03-02 00:00:00,1985,Bulker,,7864,
Egypt,Government of Egypt,Alkar,8309854,Cook Islands,Egypt,2013-01-15 00:00:00,National Navigation Company ,National Navigation Company ,"Chittagong, Bangladesh",2013-03-15 00:00:00,1985,Bulker,,7856,410
Germany,MACS Maritime Carrier Shipping GmbH & Company KG ,Yellowstone,8117603,Singapore,,,MACS Maritime Carrier Shipping GmbH & Company KG ,Choosan Shipping Private Limited ,"Chittagong, Bangladesh",2013-03-28 00:00:00,1986,Bulker,,9765,415
Greece,Alexandria Shipping S.A. ,Maria V,8315281,Marshall Islands ,,,Alexandria Shipping S.A. ,Perca Shipping Limited ,"Alang, India",2013-07-07 00:00:00,1987,Bulker,,10118,
Greece,Enterprises Shipping & Trading SA,Ntabeni,8122828,Panama,,,Enterprises Shipping & Trading SA,Wexford Maritime S.A. ,"Alang, India",2013-03-28 00:00:00,1984,Bulker,,,
Greece,Fidelity Shipping & Trading,Blue Princess,8311077,Liberia,,,Fidelity Shipping & Trading Incorporated ,Met-Pro Shipping Corporation ,"Alang, India",2013-03-16 00:00:00,1986,Bulker,,,
Greece,Franco Compania Naviera S.A.,Barbro,8307686,Malta,,,Franco Compania Naviera S.A.,Broalam AB ,"Alang, India",2013-03-19 00:00:00,1985,Bulker,,6575,410
Greece,Lamda Maritime S.A.,Chief,8405799,Malta ,,,Lamda Maritime S.A.,Dawn Shipinvest Limited ,"Alang, India",2013-07-09 00:00:00,1985,Bulker,,5214,401
Greece,Mackem Management S.A. ,Palaemon,8311091,Malta ,,,Mackem Management S.A. ,Noutsi Shipping Limited ,"Alang, India",2013-08-07 00:00:00,1984,Bulker,,7440,
Greece,Narval Shipping Corp,Vitoria,8101903,Malta,,,Narval Shipping Corp,Espirito Santo Shipping Limited ,"Alang, India",2013-02-13 00:00:00,1984,Bulker,,7834,
Greece,Ormos Compania Naviera S.A.,Alimar,8407890,Liberia,,,Ormos Compania Naviera S.A. ,Aliki Shipping Corporation ,"Alang, India",2013-01-19 00:00:00,1987,Bulker,,11150,
